Он	PRON
владел	VERB
семью	NUM
языками	NOUN
.	PUNCT
Он	PRON
пригласил	VERB
семью	NOUN
на	ADP
обед	NOUN
.	PUNCT
Что	PRON
делать	VERB
,	PUNCT
и	CCONJ
кто	PRON
виноват	ADJ
?	PUNCT
Почти	PART
все	DET
люди	NOUN
считают	VERB
,	PUNCT
что	SCONJ
надо	ADV
спать	VERB
.	PUNCT
Почти	VERB
память	NOUN
героев	NOUN
.	PUNCT
НЛП	NOUN
считается	VERB
псевдонаучным	ADJ
направлением	NOUN
психиатрии	NOUN
и	CCONJ
лингвистики	NOUN
.	PUNCT
Где	ADV
купить	VERB
мыло	NOUN
с	ADP
ароматом	NOUN
ванили	NOUN
.	PUNCT
Мама	NOUN
мыла	VERB
раму	NOUN
.	PUNCT
Домой	VERB
посуду	NOUN
и	PART
пропылесось	VERB
.	PUNCT
Вернись	VERB
домой	ADV
до	ADP
одиннадцати	NUM
.	PUNCT
Двадцать	NUM
три	NUM
человека	NOUN
спят	VERB
.	PUNCT
Хорошо	ADV
бы	AUX
поспать	VERB
10-й	ADJ
час	NOUN
.	PUNCT
Сегодня	ADV
Хуан	PROPN
поспал	VERB
хорошо	ADV
.	PUNCT
Новая	ADJ
модель	NOUN
3-палубной	ADJ
яхты	NOUN
спущена	VERB
на	ADP
воду	NOUN
.	PUNCT
Закаливание	NOUN
стали	VERB
стекла	NOUN
—	PUNCT
специализация	NOUN
компании	NOUN
.	PUNCT
Штирлиц	PROPN
вошёл	VERB
в	ADP
комнату	NOUN
,	PUNCT
из	ADP
окна	NOUN
дуло	VERB
.	PUNCT
Штирлиц	PROPN
закрыл	VERB
окно	NOUN
,	PUNCT
дуло	NOUN
исчезло	VERB
.	PUNCT
Штирлиц	PROPN
шел	VERB
по	ADP
лесу	NOUN
и	CCONJ
увидел	VERB
голубые	ADJ
ели	NOUN
.	PUNCT
Когда	SCONJ
он	PRON
возвращался	VERB
,	PUNCT
голубые	ADJ
уже	ADV
пили	VERB
.	PUNCT
Вдруг	ADV
на	ADP
зверя	NOUN
,	PUNCT
вот	PART
напасть	NOUN
,	PUNCT
осы	NOUN
вздумали	VERB
напасть	VERB
.	PUNCT
Без	ADP
пол	NUM
-	PUNCT
литра	NOUN
не	PART
разобраться	VERB
.	PUNCT
Мокрый	ADJ
пол	NOUN
долго	ADV
не	PART
высыхал	VERB
.	PUNCT
Расчёты	NOUN
,	PUNCT
якобы	ADV
сделанные	VERB
на	ADP
московском	ADJ
суперкомпьютере	NOUN
,	PUNCT
провёл	VERB
Анатолий	PROPN
Вассерман	PROPN
.	PUNCT
Христо	PROPN
Грозев	PROPN
рассказал	VERB
,	PUNCT
что	SCONJ
ему	PRON
на	ADP
глаза	NOUN
случайно	ADV
попался	VERB
секретный	ADJ
доклад	NOUN
агента	NOUN
ЦРУ	PROPN
.	PUNCT
По	ADP
утверждению	NOUN
независимых	ADJ
журналистов	NOUN
,	PUNCT
все	DET
вычисления	NOUN
,	PUNCT
приписываемые	VERB
этой	DET
машине	NOUN
,	PUNCT
на	ADP
самом	ADJ
деле	NOUN
выполняет	VERB
депутат	NOUN
Госдумы	PROPN
Анатолий	PROPN
Вассерман	PROPN
.	PUNCT
Лазутчик	NOUN
произвёл	VERB
фотофиксацию	NOUN
помещения	NOUN
и	CCONJ
передал	VERB
их	PRON
в	ADP
аналитический	ADJ
центр	NOUN
в	ADP
Лэнгли	PROPN
.	PUNCT
Исследовав	VERB
фотографии	NOUN
,	PUNCT
специалисты	NOUN
ЦРУ	PROPN
пришли	VERB
к	ADP
выводу	NOUN
,	PUNCT
что	SCONJ
расположенная	VERB
там	ADV
машина	NOUN
является	VERB
персональным	ADJ
компьютером	NOUN
.	PUNCT
После	ADP
этого	PRON
Грозев	PROPN
,	PUNCT
наугад	ADV
позвонив	VERB
по	ADP
случайному	ADJ
московскому	ADJ
номеру	NOUN
,	PUNCT
узнал	VERB
пароль	NOUN
от	ADP
ICQ	PROPN
-	PUNCT
аккаунта	NOUN
оператора	NOUN
Червоненкиса	NOUN
и	CCONJ
вошёл	VERB
на	ADP
него	PRON
.	PUNCT
